分类: 📺央视频道, 名称: 风云音乐, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 46 ms, 最高速率: 113.56 M/s, 平均速率: 41.50 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: 央视台球, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 304 ms, 最高速率: 9.42 M/s, 平均速率: 4.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: 第一剧场, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 51 ms, 最高速率: 93.44 M/s, 平均速率: 41.26 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: 世界地理, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 321 ms, 最高速率: 9.15 M/s, 平均速率: 5.59 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: 女性时尚, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 274 ms, 最高速率: 4.29 M/s, 平均速率: 2.28 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: 老故事, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 1516 ms, 最高速率: 0.38 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 24 ms, 最高速率: 49.81 M/s, 平均速率: 12.51 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 3, IPv4: 21, IPv6: 0, 最小延迟: 281 ms, 最高速率: 10.95 M/s, 平均速率: 4.52 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 3, IPv4: 20, IPv6: 0, 最小延迟: 273 ms, 最高速率: 2.47 M/s, 平均速率: 1.61 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 东方卫视, 有效: 3, IPv4: 21, IPv6: 0, 最小延迟: 287 ms, 最高速率: 10.09 M/s, 平均速率: 4.97 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 19, IPv6: 0, 最小延迟: 48 ms, 最高速率: 87.01 M/s, 平均速率: 25.91 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 广东卫视, 有效: 2, IPv4: 18, IPv6: 0, 最小延迟: 202 ms, 最高速率: 137.31 M/s, 平均速率: 6.64 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 4, IPv4: 16, IPv6: 0, 最小延迟: 236 ms, 最高速率: 10.61 M/s, 平均速率: 3.35 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 4, IPv4: 16, IPv6: 0, 最小延迟: 295 ms, 最高速率: 2.72 M/s, 平均速率: 1.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 2, IPv4: 18, IPv6: 0, 最小延迟: 8 ms, 最高速率: 11.25 M/s, 平均速率: 2.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 20, IPv6: 0, 最小延迟: 7 ms, 最高速率: 13.69 M/s, 平均速率: 2.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 386 ms, 最高速率: 10.55 M/s, 平均速率: 7.12 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 81 ms, 最高速率: 66.19 M/s, 平均速率: 21.54 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 15, IPv6: 0, 最小延迟: 304 ms, 最高速率: 10.60 M/s, 平均速率: 5.21 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 4, IPv4: 15, IPv6: 0, 最小延迟: 40 ms, 最高速率: 4.28 M/s, 平均速率: 1.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 3, IPv4: 15, IPv6: 0, 最小延迟: 58 ms, 最高速率: 97.31 M/s, 平均速率: 34.22 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 19, IPv6: 0, 最小延迟: 287 ms, 最高速率: 10.87 M/s, 平均速率: 3.39 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 6, IPv4: 16, IPv6: 0, 最小延迟: 234 ms, 最高速率: 10.66 M/s, 平均速率: 3.07 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 4, IPv4: 17, IPv6: 0, 最小延迟: 256 ms, 最高速率: 10.76 M/s, 平均速率: 4.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 4, IPv4: 17, IPv6: 0, 最小延迟: 16 ms, 最高速率: 8.47 M/s, 平均速率: 5.19 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 40 ms, 最高速率: 135.50 M/s, 平均速率: 64.25 M/s, 最高分辨率: 1920x1080
